PROVINCIA_CODIGO_OLD,PROVINCIA_CODIGO,PROVINCIA_NOMBRE,CANTON_CODIGO_OLD,CANTON_NOMBRE,CANTON_CODIGO
13.0,EC13,MANABI,445.0,MONTECRISTI,EC1309
13.0,EC13,MANABI,446.0,JARAMIJO,EC1321
13.0,EC13,MANABI,450.0,MANTA,EC1308
13.0,EC13,MANABI,455.0,JIPIJAPA,EC1306
13.0,EC13,MANABI,460.0,24 DE MAYO,EC1316
13.0,EC13,MANABI,465.0,ROCAFUERTE,EC1312
13.0,EC13,MANABI,470.0,SANTA ANA,EC1313
13.0,EC13,MANABI,475.0,SUCRE,EC1314
13.0,EC13,MANABI,476.0,JAMA,EC1320
13.0,EC13,MANABI,477.0,SAN VICENTE,EC1322
13.0,EC13,MANABI,480.0,CHONE,EC1303
13.0,EC13,MANABI,485.0,BOLIVAR,EC1302
13.0,EC13,MANABI,490.0,JUNIN,EC1307
13.0,EC13,MANABI,495.0,PAJAN,EC1310
13.0,EC13,MANABI,500.0,EL CARMEN,EC1304
13.0,EC13,MANABI,550.0,TOSAGUA,EC1315
13.0,EC13,MANABI,840.0,PICHINCHA,EC1311
13.0,EC13,MANABI,910.0,PEDERNALES,EC1317
13.0,EC13,MANABI,970.0,OLMEDO,EC1318
13.0,EC13,MANABI,975.0,PUERTO LOPEZ,EC1319
13.0,EC13,MANABI,999.0,ZONA ESPECIAL ELECTORAL LA MANGA DEL CURA,EC999
14.0,EC14,MORONA SANTIAGO,590.0,MORONA,EC1401
14.0,EC14,MORONA SANTIAGO,595.0,GUALAQUIZA,EC1402
14.0,EC14,MORONA SANTIAGO,600.0,LIMON INDANZA,EC1403
14.0,EC14,MORONA SANTIAGO,605.0,SANTIAGO,EC1405
14.0,EC14,MORONA SANTIAGO,610.0,SUCUA,EC1406
14.0,EC14,MORONA SANTIAGO,611.0,LOGRONO,EC1410
14.0,EC14,MORONA SANTIAGO,615.0,PALORA,EC1404
14.0,EC14,MORONA SANTIAGO,795.0,HUAMBOYA,EC1407
14.0,EC14,MORONA SANTIAGO,796.0,PABLO SEXTO,EC1411
14.0,EC14,MORONA SANTIAGO,797.0,TIWINTZA,EC1412
14.0,EC14,MORONA SANTIAGO,925.0,SAN JUAN BOSCO,EC1408
14.0,EC14,MORONA SANTIAGO,926.0,TAISHA,EC1409
15.0,EC15,NAPO,255.0,EL CHACO,EC1504
15.0,EC15,NAPO,620.0,TENA,EC1501
15.0,EC15,NAPO,621.0,CARLOS JULIO AROSEMENA TOLA,EC1509
15.0,EC15,NAPO,635.0,QUIJOS,EC1507
15.0,EC15,NAPO,700.0,ARCHIDONA,EC1503
16.0,EC16,PASTAZA,680.0,PASTAZA,EC1601
16.0,EC16,PASTAZA,685.0,MERA,EC1602
16.0,EC16,PASTAZA,880.0,SANTA CLARA,EC1603
16.0,EC16,PASTAZA,881.0,ARAJUNO,EC1604
17.0,EC17,PICHINCHA,60.0,DISTRITO METROPOLITANO DE QUITO,EC1701
17.0,EC17,PICHINCHA,65.0,CAYAMBE,EC1702
17.0,EC17,PICHINCHA,70.0,MEJIA,EC1703
17.0,EC17,PICHINCHA,75.0,PEDRO MONCAYO,EC1704
17.0,EC17,PICHINCHA,770.0,SAN MIGUEL DE LOS BANCOS,EC1707
17.0,EC17,PICHINCHA,80.0,RUMINAHUI,EC1705
17.0,EC17,PICHINCHA,895.0,PEDRO VICENTE MALDONADO,EC1708
17.0,EC17,PICHINCHA,896.0,PUERTO QUITO,EC1709
18.0,EC18,TUNGURAHUA,135.0,AMBATO,EC1801
18.0,EC18,TUNGURAHUA,140.0,SAN PEDRO DE PELILEO,EC1807
