OP_CODIGO,OP_AMBITO,OP_NOMBRE,OP_SIGLAS,ANIO
6038.0,CANTONAL,MOVIMIENTO VISION DE CAMBIO,VC,2009
7010.0,CANTONAL,MOVIMIENTO REVOLUCION Y LIBERTAD,MRL,2009
7021.0,CANTONAL,MOVIMIENTO PROGRESISTA ZARUMENO,MPZ,2009
7024.0,CANTONAL,MOVIMIENTO CAMBIO RADICAL,MCR,2009
7025.0,CANTONAL,MOVIMIENTO CAMBIO CHILLANO,MCH,2009
7026.0,CANTONAL,MOVIMIENTO SOLIDARIO BALSENSE,MSB,2009
7027.0,CANTONAL,MOVIMIENTO PROGRESISTA POR EL CAMBIO Y LA NUEVA DEMOCRACIA,MPC,2009
7028.0,CANTONAL,MOVIMIENTO PROGRESISTA DE ATAHUALPA,MPA,2009
7030.0,CANTONAL,MOVIMIENTO INDEPENDIENTE 24 KILATES,M24 K,2009
7031.0,CANTONAL,MOVIMIENTO MACHALA PRIMERO,MP,2009
7036.0,CANTONAL,MOVIMIENTO INTEGRACION ZARUMENO,MIZ,2009
8006.0,CANTONAL,MOVIMIENTO CIUDADANO CONCORDENSE,MCC,2009
8008.0,CANTONAL,MOVIMIENTO POLITICO UNIDOS POR RIOVERDE,MPUR,2009
8020.0,CANTONAL,MOVIMIENTO DE LOS DESEMPLEADOS,MDD,2009
8021.0,CANTONAL,MOVIMIENTO ESMERALDAS TIERRA GENEROSA OLVIDADA,METGO,2009
8022.0,CANTONAL,MOVIMIENTO DE INTEGRACION REVOLUCIONARIO BOLIVARIANO DE ESMERALDAS,MIRBE,2009
9035.0,CANTONAL,MOVIMIENTO NOBOL LIBRE Y DEMOCRATICO,M.N.L.D,2009
9036.0,CANTONAL,MOVIMIENTO REVOLUCIONARIO AGROPECUARIO,M.R.A,2009
9037.0,CANTONAL,MOVIMIENTO ACUERDO PLAYAS,M.A.P,2009
9039.0,CANTONAL,MOVIMIENTO CIUDADANO MILAGRO RENACE,MCMR,2009
9065.0,CANTONAL,MOVIMIENTO INDEPENDIENTE PROVINCIA 25 MILAGRO,MIP25M,2009
9070.0,CANTONAL,MOVIMIENTO COMPROMISO CON LA COMUNIDAD DE DURAN,MCCD,2009
9072.0,CANTONAL,MOVIMIENTO DE DESARROLLO LOCAL DE POSORJA,MO-DE-LO,2009
10005.0,CANTONAL,MOVIMIENTO IPOSITIVA,IP,2009
10006.0,CANTONAL,FUERZA SOCIAL Y DESARROLLO,FSD,2009
10007.0,CANTONAL,MOVIMIENTO INDEPENDIENTE FUERZA URCUQUI,MFU,2009
10008.0,CANTONAL,MOVIMIENTO PIMAMPIRO SI VIVE LA REVOLUCION CIUDADANA,MPSVRC,2009
10014.0,CANTONAL,AMAWTA JATARI,AJ,2009
10015.0,CANTONAL,MOVIMIENTO PATRIA PARA TODOS,MPPT,2009
10016.0,CANTONAL,ACCION SOCIAL,AS,2009
10019.0,CANTONAL,MOVIMIENTO VIDA Y SOBERANIA,MVS,2009
11014.0,CANTONAL,PUEBLO CAMBIO Y DESARROLLO,PCD,2009
11015.0,CANTONAL,MOVIMIENTO DE ACCION CALVENSE,MAC,2009
11016.0,CANTONAL,MOVIMIENTO NUEVO CELICA,MNC,2009
11019.0,CANTONAL,MOVIMIENTO DE INTEGRACION PROGRESISTA GONZANAMENO,MIPG,2009
11021.0,CANTONAL,"MOVIMIENTO DIGNIDAD, DEMOCRACIA Y TRANSPARENCIA",DDT,2009
11029.0,CANTONAL,MOVIMIENTO POLITICO SOCIAL DEMOCRATICO PUYANGO,MPSDP,2009
11030.0,CANTONAL,MOVIMIENTO BRIGADA ALFARISTA,MBA,2009
11031.0,CANTONAL,MOVIMIENTO VIDA PARA PALTAS,MVPP,2009
11035.0,CANTONAL,MOVIMIENTO INDEPENDIENTE ALTERNATIVO Y SOLIDARIO DE PINDAL,MIASP,2009
12009.0,CANTONAL,MOVIMIENTO DE INTEGRACION CANTONAL QUINSALOMENO,MICQ,2009
12011.0,CANTONAL,MOVIMIENTO INDEPENDIENTE SOLIDARIO VENTANENSE,MISOL-V,2009
12015.0,CANTONAL,MOVIMIENTO PROYECTO VINCES,MPV,2009
12016.0,CANTONAL,MOVIMIENTO INDEPENDIENTE JUVENTUD MONTALVINA,MIJM,2009
12017.0,CANTONAL,MOVIMIENTO GANADERO BABA,MGB,2009
